Pregunta|Intencion|Intencion_cat_label|Intencion_encoded
no me aparece en hb la posiblidad de acceder a un préstamo|Cat_197|197|103
como puedo pagar la cuota del prestamo personal?|Cat_239|239|149
necesito que me cambien la sucursal de destino de la extensión que pedí.|Cat_318|318|236
cual seria el promedio del aumento mensual del prestamo?|Cat_219|219|127
no entiendo lo del toquen|Cat_5|5|297
para usar el salon vip?|Cat_284|284|198
quisiera tasa interés mora pago tarjeta dito|Cat_349|349|270
horarios de atencion en sucursal|Cat_91|91|343
nunca llego la tarjeta santander|Cat_293|293|208
cargo recibir transferencia internacional|Cat_31|31|227
queria que me reintegroan un pago de mi tarjeta american expres dado que se duplico el mismo pago|Cat_350|350|272
realice pago homebanking|Cat_195|195|101
se puede anular lo que canjeé?|Cat_331|331|251
la informacion personal que se encuentra en el seguro es erronea|Cat_267|267|180
quiero dar de baja el seguro de la tarjeta porque no lo solicité|Cat_264|264|177
en el calculo de ingresos de un préstamo hipotecario tengo que sumar o no lo de impuesto a las ganancias?|Cat_249|249|160
la deuda de este mes hay forma de pagarla|Cat_192|192|98
acreditación de transferencia|Cat_77|77|327
costo tarjeta debito visa|Cat_96|96|348
no puedo entrar en online|Cat_117|117|18
necesito una cuenta mejor que la que tengo|Cat_86|86|337
como puedo sacar una tarjeta recargable si no soy cliente! !|Cat_313|313|231
cuantos billetes se pueden depositar|Cat_110|110|14
no entiendo hasta cuando son los descuentos.|Cat_311|311|229
me olvidé la clave alfanumerica.|Cat_288|288|202
necesito pedir credito|Cat_223|223|132
como pago el vep una vez generado|Cat_132|132|32
cuanto tardan en otorgar el préstamo hipotecario?|Cat_243|243|154
aumentar el limite de la tarjeta de credito|Cat_302|302|219
necesito vender acciones|Cat_154|154|56
realice el pago de la tarjeta cuanto tiempo tarda en impactar el pago en el sistema|Cat_279|279|193
me descontaron el cargo de sorpresa y yo lo tengo sin cargo|Cat_90|90|342
que puedo comprar con las millas?|Cat_273|273|187
por que no puedo ver los intereses de los letes?|Cat_161|161|64
enviar tarjeta priority pass no llegar|Cat_293|293|208
como hacer una simulacion de cuotas|Cat_251|251|163
es para hacer el rescate de la visa debito de la sucursal.|Cat_318|318|236
plazo fijo debin|Cat_54|54|302
olvide mi contraseña de hombamnkin|Cat_1|1|1
quisiera cancelar transferencias automáticas para siempre|Cat_81|81|332
cuándo me envían el cheque del seguro?|Cat_270|270|184
extraccioon de dinero en el extranjero|Cat_298|298|213
quiero consultar sobre un credito personal...requisitos|Cat_248|248|159
tengo un seguro que se llama ike en mi cuenta y no se que es|Cat_261|261|174
queria saber si siguen el miercoles mujer|Cat_311|311|229
fui al cajero a habilitar la nueva clave y me dice inabilitada|Cat_288|288|202
tienen mail|Cat_29|29|204
cual es la tasa del descubierto?|Cat_56|56|304
a que numero puedo llamar para comunicarme desde el interior por informacion?|Cat_147|147|48
te puedo dar mi dni para saber si puedo sacar un credito|Cat_248|248|159
como doy de baja mi cuenta caja de ahorro universitaria en santander rio??|Cat_41|41|288
cuanto demora la acreditacion de un cheque?|Cat_49|49|296
no puedo retirar las tarjetas  me las pueden mandar a otra sucursal|Cat_318|318|236
no pudo comunicarme con el centro de inversiones.|Cat_29|29|204
en que sucursal puedo comprar reales?|Cat_166|166|69
¿quisiera saber con que firma de abogados manejan las deudas ?|Cat_190|190|96
no recuerdo mi clave de cajero automatico|Cat_288|288|202
de que se trata la tarjera woman|Cat_357|357|279
quiero comunicarme con ustedes y no me deja porque me dice que mi clave de acceso esta bloqueada|Cat_1|1|1
quiero registrarme en superclub|Cat_299|299|214
hay prestamo para adquisicion de vehiculos|Cat_225|225|134
quiero que me den de baja las tarjetas adicionales que tengo en mi cuenta|Cat_338|338|258
querer bajo cuenta cargar mensual|Cat_41|41|288
quiero transferencia|Cat_83|83|334
número telefónico llamar solicitar tarjeta credito visa favor|Cat_337|337|257
como se que cuenta tengo actualmente|Cat_75|75|325
telefono hablar representante|Cat_147|147|48
me acaban de robar la billetera y tenia la tarjeta de débito|Cat_294|294|209
no recuerdo mi número de cuenta|Cat_68|68|317
cómo saco una caja de ahorro en pesoss|Cat_39|39|285
esperar reintegrar comprar realizar falabella efectivo reintegrar correspondiente|Cat_312|312|230
quiero obtener una caja de ahorro|Cat_39|39|285
aumentar la extraccion de mi dinero?|Cat_287|287|201
como puedo ver los movimientos de la tarjeta recargable?|Cat_313|313|231
debitar pagar automatico tarjeta credito|Cat_38|38|284
estoy adherido al débito automatico de los servicios pero no me descuentan ninguno aún y se me están venciendo todos. q debo hacer?|Cat_129|129|28
cerraron las tarjetas y no aparecen los resumenes en la web el mes pasado el resumen apareecio recien a los dias posterior al vencimiento|Cat_138|138|38
soy cliente del banco. tengo que pagar por el coworking?|Cat_149|149|50
si elijo advantage cuanto me cobran por el cambio?|Cat_276|276|190
un fideicomiso es apto para solicitar un préstamo hipotecario?|Cat_228|228|137
necesito activar el token de seguridad|Cat_5|5|297
ampliar limitar retirar cajero|Cat_287|287|201
como cambio la contraseña del homebanking|Cat_1|1|1
los adicionales de las tarjeta santander rio black tienen acceso al priority pass|Cat_284|284|198
necesito saber como imprimir mi factura de pago ya que hace dos meses no la recibo|Cat_138|138|38
puedo alquilar la propiedad adquirida con un préstamo hipotecario?|Cat_228|228|137
en cuantas cuotas puedo pedir el préstamo hipotecario?|Cat_242|242|153
incluye seguro de incendio el préstamo?|Cat_250|250|162
clave banelco|Cat_288|288|202
como hago para calcular el prestamo|Cat_251|251|163
dar aviso que pagare mi tarjeta|Cat_191|191|97
cada cuanto tiempo renuevan el stock para canjear puntos|Cat_332|332|252
quiero pagar tarjeta american express|Cat_342|342|263
se me debito veces el pago de las tarjetas|Cat_350|350|272
quiero hacerme|Cat_39|39|285
necesitaria contactarme con un asistente de comercio exterior|Cat_29|29|204
quiero guardar plata banco|Cat_39|39|285
quiero cambiar de vivienda pero sin venderla  es posible acceder a un préstamo hipotecario|Cat_228|228|137
recibi mi tarjeta y tengo que habilitarla  pero no encuentro el telefono|Cat_301|301|218
comprar dolar tarjeta credito entrar imponer 30%|Cat_289|289|203
los sabados tienen atencion telefonica?|Cat_29|29|204
no me acreditaron los puntos que me prometieron en la promoción|Cat_330|330|250
necesitar averiguar costo comisión comprar letes|Cat_96|96|348
donde veo el resumen de mi tarjeta amex?|Cat_138|138|38
acceder a préstamo personal|Cat_223|223|132
autorizar tarjetas para el exterior|Cat_304|304|221
como hago para encontrar la cotizacion de dólar?|Cat_166|166|69
a que servicios tengo adhesion automática?|Cat_93|93|345
necesito una tarjeta de debito nueva|Cat_316|316|234
solicitar tarjeta credito caja ahorro|Cat_337|337|257
falla tecnica en cajero descontó saldo|Cat_297|297|212
reclamar tarjeta credito no enviar|Cat_293|293|208
cómo validar mis datos de la cuenta?|Cat_103|103|6
como puedo consultar sobre mi prestamo|Cat_215|215|123
me dicen que mi tarjeta visa no acumula puntos|Cat_300|300|217
quisiera saber respecto de los creditos personales|Cat_225|225|134
cuanto cuesta la comisión para comprar lebacs?|Cat_96|96|348
no quedo tema limite tarjeta credito explicar|Cat_303|303|220
quiero obtener resúmenes históricos de cuenta.|Cat_138|138|38
efectuar reintegrar comprar efectuar promoción|Cat_312|312|230
donde consulto mi resumen único?|Cat_138|138|38
necesito informar una compra con tarjeta de credito por internet|Cat_283|283|197
se pueden canjear puntos por voucher en ?|Cat_322|322|241
como puedo pagar la tc|Cat_342|342|263
como puedo comprar dolares?|Cat_166|166|69
cuales son las condiciones del super miercoles mujer?|Cat_311|311|229
duplicar debitar resumir|Cat_129|129|28
el cajero no me entregó en dinero y se debito de mi cuenta|Cat_297|297|212
quiero saber q cobran de mantenimiento por la tarjeta|Cat_340|340|261
puedo adquirir un departamento de pozo con un prestamo hipotecario?|Cat_211|211|119
que sistemas de amortizacion hay?|Cat_252|252|164
por que veo duplicada una compra que está pendiente de autorización?|Cat_343|343|264
para precancelar un plazo fijo debo ir hasta la sucursal del banco?|Cat_182|182|87
solicitar tarjeta visa santander|Cat_337|337|257
no llega el resumen de la tarjeta a tiempo o directamente hay meses que no llega|Cat_138|138|38
qusiera averiguar sobre los creditos hipotecarios para clientes del banco que cobran sus haberes por el mismo ?|Cat_225|225|134
como puedo hacer si el premio que pedí llegue con fallas?|Cat_329|329|248
quiero consultar sobre mi seguro|Cat_271|271|185
si no sos cliente podes accceder a un prestamo|Cat_248|248|159
pagar préstamo?|Cat_239|239|149
necesito sacar plata pero no tengo la tarjeta de debito|Cat_295|295|210
como ingresar para acceder a un prestamo|Cat_223|223|132
licitacion|Cat_157|157|59
caer página poder cerrar sesion salir|Cat_0|0|0
quiero cobro sacar plata link|Cat_96|96|348
cuando escrituro la casa de mi préstamo hipotecario?|Cat_241|241|152
valor seguro de vivienda en la cuota del credito ?|Cat_250|250|162
como doy de baja una tarjeta que ya adherí a todo pago|Cat_285|285|199
apertura pasaportar|Cat_39|39|285
que es billetera|Cat_285|285|199
me gustaria informacion sobre la tarjeta nova|Cat_306|306|223
cambiar consumo dolar traves online banking|Cat_289|289|203
info sobre prestamo.personal|Cat_225|225|134
necesitar activar alerta pagar servicio|Cat_125|125|24
quiero entrar en apps santander|Cat_3|3|215
ingresando a mi cuenta de home banking no tengo la opcion de simular un ccredito prendario para autos. se tiene que hacer x sucuersal?|Cat_251|251|163
entender resumen inversión|Cat_188|188|93
cuánto tarda en acreditarse en la cuenta la venta de bonos?|Cat_161|161|64
para operar con lebacs cobran una comisión?|Cat_96|96|348
cuenta universitaria|Cat_359|359|281
tarjeta credito visa saber saldo minimo|Cat_303|303|220
disponible tarjeta|Cat_303|303|220
adheri metrogas debitar automatico meses debitar pagar meses factura impago|Cat_129|129|28
mis plasticos estan en la sucursal?|Cat_293|293|208
es para compra online en un página de eeuu. tengo que llamar para hacer alguna hailitación?|Cat_290|290|205
necesito pagar la visa de santander con cuenta de otro banco|Cat_342|342|263
mi numero de cuenta|Cat_68|68|317
la tarjeta tiene incorporadala membresia de american airlines advantage . y quiero dar de baja esa membresia|Cat_299|299|214
pasos para blanquear tarjeta|Cat_288|288|202
cuál es la mejor inversión para hacer|Cat_178|178|82
desear recibiré tarjeta credito debito visa select|Cat_293|293|208
tener retirar tarjeta sucursal|Cat_293|293|208
que trámite tengo que hacer para operar en brasil con mi tarjeta|Cat_289|289|203
término condiciones transferencia tercero|Cat_83|83|334
para préstamo prendario con que concesionarias trabajan?|Cat_223|223|132
no me toma clave de digitos para registrarme|Cat_1|1|1
me fracturé un dedo  tengo seguro de vida  eso esta cubierto?|Cat_265|265|178
quiero que me cuentes de tarjetas y el programa advantage de american airlines|Cat_277|277|191
deposito por ventanilla|Cat_128|128|27
quiero saber que margen tengo con la tarjeta|Cat_303|303|220
necesito que me avisen cuando recibo un deposito en mi cuenta|Cat_125|125|24
querer devuelva cobrar tarjeta credito american spres|Cat_350|350|272
nunca me llegue la tarjeta de debito|Cat_293|293|208
puedo sacar el credito prendario?|Cat_248|248|159
para saber si tengo credito en mi tarjeta|Cat_303|303|220
necesitaria renovar la tarjeta de debito ya que en algunos comercio no lo lee el posnet y parece que esta gastado|Cat_316|316|234
farmacia para jubilados|Cat_311|311|229
¿cobran ganancias sobre los fondos?|Cat_177|177|81
ahora mi empleador no tiene esa hoja para firmar podrian enviar o de donde descargo esto?|Cat_72|72|322
me gustaría rescatar mis fondos de la cuenta custodia en usd|Cat_175|175|79
donde puedo consultar mis puntos|Cat_325|325|244
quiero pedir un préstamo de mil pesos y no soy cliente como tengo q ase para otorgarlo|Cat_248|248|159
quiero activar la tarjeta que recibí|Cat_301|301|218
necesito informacion sobre la caja de ahorro|Cat_39|39|285
programa de puesta en marcha y expansión para emprendedoras|Cat_357|357|279
quisiera solicitarles información necesaria para realizar un pago o transferencia al exterior desde mi cuenta en santander rio|Cat_36|36|282
solicitud tarjeta debitar|Cat_39|39|285
donde veo mis debitos automaticos adheridos|Cat_93|93|345
las transferencias tienen costo?|Cat_83|83|334
no recibí la tarjeta visa addvantage|Cat_293|293|208
queria consultar por que no tengo aun disponible el resumen de la tarjeta visa|Cat_138|138|38
dejar de tener la subscripcion a sorpresa|Cat_320|320|239
quiero cerrar mi cuenta|Cat_41|41|288
algun numero de atencion al cliente|Cat_147|147|48
un numero de telefono que me puedas dar|Cat_147|147|48
el cambio de clave y usuario lo puedo hacer desde el celular?|Cat_1|1|1
cómo sé que peluquerias están adheridas ?|Cat_311|311|229
como hago para pagar la luz por la tarjeta?|Cat_132|132|32
necesito una cláusula de no repetición  donde la pido?|Cat_268|268|181
la tarjeja de devito se rompió como ago ?|Cat_316|316|234
como se cancela el traspaso automatico?|Cat_85|85|336
quiero solicitar tarjeta debito|Cat_39|39|285
lleno el formulario pero no puedo correr el candadito|Cat_4|4|286
numero de sucursal del banco en la calle cabildo|Cat_91|91|343
no quedo tema limite tarjeta credito explicar|Cat_303|303|220
tomar un compromiso de pago|Cat_191|191|97
olvide mi clave. como puedo blanquearla?|Cat_1|1|1
mi tarjeta no fue enviada como hago un reclamo|Cat_293|293|208
tengo que hacer algo para que se autoricen loas compras que están pendientes?|Cat_343|343|264
envié un pago al exterior y todavía no llegue cuanto demora?|Cat_35|35|271
cargar sube|Cat_132|132|32
como es el prestamo prendario?|Cat_225|225|134
como hago para sacar la tarjera|Cat_337|337|257
me olvide mi pin|Cat_288|288|202
obtuve el % del valor de la casa quisiera saber si también debo hacerme cargo de los gastos de escritura e inmobiliaria|Cat_210|210|118
me decís el costo de la comisión de mantenimiento de la cuenta?|Cat_96|96|348
mi consulta es para extender el límite de la tarjeta|Cat_302|302|219
queria saber si existe la posibilidad q me otorguen un préstamo|Cat_248|248|159
ver vep remitir correo argentino|Cat_132|132|32
promociones de restaurant en mar del plata|Cat_311|311|229
como tendría q hacer para sacar un préstamo|Cat_223|223|132
como pagar factura con la tarjeta|Cat_132|132|32
cómo sacar préstamo personales|Cat_223|223|132
donde puedo ver las cuotas que me faltan|Cat_101|101|4
cuál es mi cuenta principal?|Cat_52|52|300
es sobre la tarjeta de credito como ago para saber si tiene saldo|Cat_303|303|220
como hago la tasacion?|Cat_216|216|124
motivar poco disponible comprar visa|Cat_303|303|220
como hago para que al vencimiento se acredite el plazo fijo en cuenta|Cat_180|180|85
consultar los costos para cancelar de los préstamos que tenía activos|Cat_246|246|157
como veo el resuemen de mi tarjeta|Cat_138|138|38
necesitaba datos para abrirle una cuenta a mi hija|Cat_39|39|285
telefono para hacer denuncias visa|Cat_294|294|209
modificar tope de extracciones|Cat_287|287|201
necesito un telefono para comunicarme pero no soy cliente|Cat_147|147|48
por cobrar asignación no otorgan creditos|Cat_248|248|159
cual es la clave de seguridad para abrir el resumen de la tarjeta por mail|Cat_138|138|38
transferir autoservicio|Cat_83|83|334
quiero cambiar el pago de mi tarjeta de credito a cuenta corriente|Cat_345|345|266
me podrás decir cómo dar la baja a los mail|Cat_125|125|24
cual es el cargo anual tarjeta american express|Cat_340|340|261
me cobroon comisión por reposición de adicionales de mis tarjetas que no pedí|Cat_97|97|349
como puedo hacer para depositar plata para mi tarjeta de credito de santander|Cat_342|342|263
que es cer?|Cat_107|107|10
cual es la opcion para abonar tarjetar de credito|Cat_192|192|98
donde ver estado envio tarjeta recargable|Cat_293|293|208
puedo solicitar un prestamo hipotecario para remodelar mi casa?|Cat_228|228|137
quiero aviso pago tarjeta|Cat_195|195|101
puedo retirar la chequera que solicite|Cat_45|45|292
saber poder abonar resumen transferencia|Cat_342|342|263
quiero aviso mail efectuo consumo tarjeta|Cat_125|125|24
el otorgamiento del préstamo hipotecario es solo para vivienda unica?|Cat_228|228|137
pierdo las millas que junté por no usarlas?|Cat_274|274|188
aumentar el limite de compra para un adicional.|Cat_335|335|255
olvide las letras de la tarjeta de debito|Cat_288|288|202
necesito el n¬∫ de telefono para poder comunicarme con el banco|Cat_147|147|48
que es el superfondo estratégico?|Cat_173|173|77
solicito que den de bajaasistencia ya que nunca me informaron sobre el mismo y me lo están descontando sin mi consentimiento.|Cat_262|262|175
me gustadia abrir una cuenta bancaria.|Cat_39|39|285
quiero blanquear el pin de mi tarjeta de débito porq se me bloqueo|Cat_288|288|202
estoy tratando de generar mi clave y no se puede|Cat_1|1|1
pago internacional con tarjeta visa|Cat_289|289|203
quiero depositar plata para mi tarjeta de credito santander|Cat_342|342|263
necesito recibir una transferencia desde el exterior banco de costa rica y me piden mi swift o aba. donde encuentro esa info de mi cuenta?|Cat_34|34|260
como puedo acceder a un préstamo personal?|Cat_223|223|132
intentar generar clave llegar ingresar|Cat_1|1|1
se puede depositar dolares en cajeros autoservicios|Cat_110|110|14
como modificar las claves de la tarjeta de debito|Cat_288|288|202
¿cuantas cuotas me faltan pagar?|Cat_101|101|4
necesito hacer un pago de visa|Cat_342|342|263
saldo caja de ahorro en pesos|Cat_50|50|298
hay un problema y no me carga la web del banco.|Cat_117|117|18
yo quisiera saber si me pueden enviar el resumen de la tarjeta?|Cat_138|138|38
acabo de canjear parte de mis puntos superclub  incluso a me fueron descontados pero no me confirmaron el canje|Cat_328|328|247
se puede extender el plazo del préstamo prendario?|Cat_230|230|140
tengo un cheque del interior cuanto me sale cobrarlo|Cat_49|49|296
racarga de saldo de telefono celular|Cat_132|132|32
querría saber si califico para el préstamo|Cat_248|248|159
pague una factura de gas de manera personal pero tmb me la descontaron por debito automatico|Cat_129|129|28
querer hacer reclamar cajero|Cat_297|297|212
cuales son los requisitos para hacer un pago al exterior?|Cat_36|36|282
adquerir tarjeta|Cat_337|337|257
pague un servicio y me sigue figurando|Cat_129|129|28
pagar visa con cuenta de otro banco|Cat_342|342|263
queria saber sobre el limite de mi tajeta de credito.|Cat_303|303|220
como saber el limite de compras en cuotas de la tarjeta|Cat_303|303|220
cambiar clave|Cat_1|1|1
quisiera saber cómo pedir la reposición de la tarjeta por deterioro|Cat_316|316|234
que documentación presentar para solicitar un prestamo|Cat_247|247|158
quiero pedir la bonificación del mantenimiento  en el citi la tenía gratis porque era cuenta sueldo.|Cat_73|73|323
baja debito tarjeta|Cat_345|345|266
que operación debo realizar para cancelar la transferencia?|Cat_82|82|333
quiero notificar el pago de la deuda de la tarjeta|Cat_195|195|101
le puse gnc al auto  lo tengo que agregar en el seguro?|Cat_268|268|181
la cuenta sueldo tiene gastos de mantenimiento|Cat_72|72|322
se pueden acumular los descuentos de los vouchers con los descuentos del banco|Cat_311|311|229
que diferencia hay entre el paquete de infinity y el gold??|Cat_39|39|285
quiero dar de baja el pago automatico|Cat_345|345|266
arreglo pago deuda|Cat_192|192|98
quiero pagar ingresos brutos y me dice que no tengo deuda|Cat_129|129|28
cuanto demora el otorgamiento del prestamo luego de elegir la propiedad a comprar?|Cat_243|243|154
descargar movimientos|Cat_138|138|38
cuando me avilitan latarjeta ya pague el plan de pago|Cat_314|314|232
se venció mi tarjeta débito que debo hacer|Cat_316|316|234
sacar de mi americam tarjeta el resumen de pago|Cat_138|138|38
en cuanto tiempo se acredita un cheque en dolares?|Cat_30|30|216
para que sirve el ike????|Cat_261|261|174
como es el sistema uvas?|Cat_108|108|11
como hago para hacer una recarga virtual desde mi app'|Cat_132|132|32
como puedo saber si soy moroso|Cat_99|99|351
tengo una duda con los cargos de mi tarjeta santander|Cat_115|115|17
tu color favorito|Cat_8|8|330
lo del 30% más de puntos es en cualquier consumo con la amex?|Cat_311|311|229
solo queria saber sobre los prestamos|Cat_225|225|134
que beneficios tengo con visa credito?|Cat_311|311|229
necesito saber el pin para operar por primera vez en cajero banelco|Cat_288|288|202
cual es el pin en los voucher baje uno y me pide el pin y no se cual es|Cat_333|333|253
necesito un comprobante bancario donde conste nombre domicilio iban y bic/swift para recibir una transferencia bancaria internacional|Cat_34|34|260
cuánto está la acción de ceco?|Cat_168|168|71
cómo denuncio que se me rompió un electrodoméstico?|Cat_265|265|178
tengo dolares y quiero pasarlos al superfondo latam|Cat_176|176|80
no puedo operar porque me figura como bloqueada la cuenta título|Cat_170|170|74
cómo puedo hacer para enviarles mi currículum?|Cat_102|102|5
necesito consultar por mi seguro de vivienda a que número tengo que llamar|Cat_265|265|178
puntos de canjes|Cat_322|322|241
problemas de actualización de la clave de home banking|Cat_1|1|1
dudaba sobre si se había debitado de mi cuenta el pago de la tarjeta de ccredito.|Cat_279|279|193
estoy averiguando para pedir un préstamo para comprar terreno|Cat_228|228|137
quisiera saber el vencimiento de mi tarjeta santander rio vissa|Cat_341|341|262
como descargo el comprobante de pago del seguro?|Cat_98|98|350
cómo se hace para cargar una tarjeta visa recargable|Cat_313|313|231
decir debito automatico cortar falto pagar|Cat_129|129|28
recarga telefono tarjeta debito|Cat_132|132|32
necesito dar de baja un debito directo de la tarjeta american express|Cat_292|292|207
info sobre creditos uvas|Cat_225|225|134
como instalo el antivirus del banco|Cat_6|6|308
cual es el costo de tasacion de la propiedad?|Cat_216|216|124
mi tarjeta de debito no funciona|Cat_286|286|200
como puedo cambiar mi numero de cel|Cat_103|103|6
estoy necesitando cambiar los puntos  pero no encuentro la opcion con despegar que paso?|Cat_322|322|241
otro banco pagar visa santander|Cat_342|342|263
no entiendo porque mi cuenta está tan excedida|Cat_56|56|304
no puedo usar la tarjeta de debito|Cat_286|286|200
horario transferencia|Cat_83|83|334
generar clave responder preguntar|Cat_1|1|1
como se hace una compra usando millas?|Cat_273|273|187
beneficios black|Cat_311|311|229
mierocles pasado en caí en la calle y me fisure el pie me cubre algo el seguro trabajo en dos escuelas ?|Cat_265|265|178
no me dije abrir nuevamente el home banking xq no cerre la anterior|Cat_0|0|0
por que me siguen enviando información de mis inversiones?|Cat_179|179|83
para la licitación de bonos que cotización del dólar se toma?|Cat_157|157|59
quiero abrir cuenta sueldo a dos empleados. que datos necesito presentar?|Cat_69|69|318
quiero saber la demora de acreditación de un pago de redbus?|Cat_132|132|32
cuales son las condiciones de creditos hipotecarios?|Cat_225|225|134
se me inundó mi casa  tengo cobertura?|Cat_265|265|178
me duplicaron una compra|Cat_112|112|15
quiero saber fechas de cierre y vencimiento de mi tarjeta de ccredito.|Cat_341|341|262
tarjeta enviar correar seguimiento|Cat_293|293|208
montomáximo transferir|Cat_83|83|334
por que se demora el envio del producto q habia canjeado|Cat_326|326|245
necesito un mail donde reclamar|Cat_135|135|35
puedo adquirir con préstamo hipotecario una casa que esta a nombre de una persona que murio?|Cat_211|211|119
comision caja ahorro dolar|Cat_96|96|348
necesito realizar una transferencia desde mi celular.|Cat_83|83|334
quiero obtener mi credito personal|Cat_223|223|132
deber modificar domicilio correspondencia poliza|Cat_267|267|180
queria saber como son los prestamos hipotecarios que ofrecen para la compra de una vivienda|Cat_225|225|134
queria extender limitar extracion|Cat_287|287|201
cómo renuevo mis tarjetas?|Cat_316|316|234
el límite de una extensión de tarjeta es muy bajo como tengo que hacer para modificarlo?|Cat_335|335|255
que significa préstamo hipotecario uvas|Cat_204|204|112
quise cambiar la contraseña de mi tarjeta visa debito cambie de contraseña desde un cajero y se me inhabilito.|Cat_288|288|202
no veo debitada la factura de telecom que en la misma figura débito automatico.|Cat_129|129|28
con santander rio tengo 2x1 cine mark san justo hoy sabado??|Cat_311|311|229
cuales son los requisitos necesarios para solicitar un prestamo prendario?|Cat_248|248|159
encuentro intereses pago atrasado tarjeta|Cat_349|349|270
por asta cuantas cuotas me asen|Cat_251|251|163
me bloqueó la tarjetas de debito para sacar plata puedo compra con la tarjeta|Cat_286|286|200
el prestamo hipotecario tiene una de terminada cantidad de aaños a taza fija?|Cat_258|258|170
blanquear clave|Cat_1|1|1
se puede precancelar|Cat_246|246|157
realicé una transferencia en pesos. pero me equivoque al seleccionar el destinatario y elegí la cuenta de destino en dolares|Cat_82|82|333
confirmar una baja de tarjeta de ccredito iniciada vía web|Cat_338|338|258
¿hay beneficios para discapacitados en el préstamo prendario?|Cat_253|253|165
como solicitar una tarjeta de credito visa?|Cat_337|337|257
no me dijeron que las entradas iban a estar separadas como cancelo el canje?|Cat_324|324|243
porque de mi fondo de inversion hoy en mi tenencia tengo mucho menos|Cat_172|172|76
en la app hay una parte que dice sorpresa y que tenes que inscribirte. de que se trata????|Cat_320|320|239
¿consultatio cómo está?|Cat_168|168|71
números de asistencia en el extranjero|Cat_147|147|48
como realizar un stop debit de un plan de afip|Cat_145|145|46
super online|Cat_39|39|285
efectuar el aviso de viaje|Cat_304|304|221
a que numero llamar para consuitar algo|Cat_147|147|48
quiero extraer dinero con mi tarjeta de débito|Cat_298|298|213
los reintegros de los pagos de los servicios...cuando se reintegran?|Cat_312|312|230
estaba en online banking y cuando quiero efectuar un pago a afip se tilda la pagina|Cat_117|117|18
queria cancelar parte del capital|Cat_246|246|157
estoy en el exterior y no recuerdo mi pin|Cat_288|288|202
te consulto porque quiero hacer un canje de puntos|Cat_322|322|241
queria saber si me entro un cheque o aun no|Cat_50|50|298
cómo hago para abrir una cuenta para inversiones?|Cat_169|169|72
todavía no me acreditaron unas operaciones de acciones|Cat_153|153|55
me pueden enviar por mail las polizas de los seguros contratados|Cat_266|266|179
recibí un mensaje de pago no registrado|Cat_279|279|193
no recibo el mail con el resumen de la tarjeta visa y con citi lo recibia|Cat_138|138|38
comision tarjeta|Cat_96|96|348
cuanto tengo que pagar para cancelar el prestamo|Cat_246|246|157
podrias gestionar el envio de la chequera para retirarla de una sucursal ??|Cat_46|46|293
cuanto es la cuota mensual de un credito tradicional de un monto de $|Cat_251|251|163
quiero cancelar una cuenta universitaria|Cat_41|41|288
necesito habilitar chequera y no encuentro donde|Cat_44|44|291
cuándo me depositan las acciones que liquidé?|Cat_153|153|55
donde esta el cajero mas cercano a mi|Cat_91|91|343
pedi una tarjeta y quisiera saber por donde esta?|Cat_293|293|208
por que no me hicieron la bonificación de sorpresa?|Cat_90|90|342
si quiero cobrar bonos en otra divisa tengo que ir a la sucursal?|Cat_161|161|64
sacar adelanto efectivo cajero|Cat_56|56|304
si pido un credito de cuales serian sus intereses?|Cat_258|258|170
necesito consultar  si mi tarjeta visa esta disponible para hacer una compra.|Cat_303|303|220
como entro sin poner datos en la app|Cat_2|2|106
si me suscribo ahora a sorpresa santander. ya lo puedo usar?|Cat_320|320|239
me llamaron por tel y me dijeron q me comunique con el banco|Cat_146|146|47
cual es el sistema de amortizacion?|Cat_252|252|164
tendras un número para no clientes|Cat_147|147|48
como pedir tarjeta nova|Cat_306|306|223
cuándo depositan el interés de las letes?|Cat_158|158|60
la aplicacion no me está funcionando.|Cat_117|117|18
tarjeta coordenado transferencia inmediata|Cat_83|83|334
necesitar adquirir tarjeta visa|Cat_337|337|257
cómo obtengo mi pin de la tarjeta americana express ?|Cat_288|288|202
como ago para sacar el prestamo atraves de la app|Cat_223|223|132
limite transferir banco|Cat_83|83|334
necesito hacer una transferencia en dolares desde mis dos cuentas|Cat_83|83|334
es posible chatear con una persona ?|Cat_29|29|204
quiero un telefono de contacto|Cat_147|147|48
no está el detalle del pago minimo en el resumen|Cat_351|351|273
tengo un descuento por descubierto excedido que no corresponde|Cat_56|56|304
cuando hago una transferencia es inmediata?|Cat_77|77|327
tarjeta american express crear usuario|Cat_1|1|1
todavía no me llegaron las tarjetas de debito y credito.|Cat_293|293|208
solicite traslado de sucursak|Cat_65|65|314
chica o chico|Cat_27|27|183
me cobran alguna comisión si habilito los avisos?|Cat_125|125|24
retiro de efectivo por caja|Cat_128|128|27
no puedo obtener la clave me pide un n de terminacion de tarjeta que no tengo|Cat_1|1|1
comisión cajero banco|Cat_96|96|348
quierp sacar un préstamo pero estoy en el veraz ... puedo??|Cat_244|244|155
comisión entrar salir fondo inversión|Cat_96|96|348
necsito cambiar la trjeta de debito por se va a vencer|Cat_316|316|234
online imposible generar clave deja|Cat_1|1|1
soy monotributista con cuenta en santander rio queria saber si puedo acceder a un prestamo hipotecario?|Cat_248|248|159
qué precio me sugerís para comprar bonar?|Cat_178|178|82
